uen,Company Name,primary_ssic_code,secondary_ssic_code,primary_ssic_description,secondary_ssic_description,finaladdress,entity_status_description,uen_issue_date,registration_incorporation_date,entity_type_description,ACRA Update Date
200816741G,A-PLUS FOOD SINGAPORE PTE. LTD.,46900,47802,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,STALLS (INCLUDING PUSHCARTS) SELLING OTHER COMMODITIES (OTHER THAN UNCOOKED FOOD),2 YISHUN INDUSTRIAL STREET 1 NORTH POINT BIZHUB #03-05 Singapore 768159 ,Live Company,2008-09-13,2008-08-22,Local Company,2022-08-25
49837300B,AAJ ELECTRICAL CABLE JOINTING,43210,na,ELECTRICAL WORKS,na,10 ANSON ROAD INTERNATIONAL PLAZA #05-16 Singapore 079903 ,Live,2008-09-10,1993-12-17,Business,2022-08-25
200904175N,ACHIEVERLIFE PTE. LTD.,85409,na,TRAINING COURSES N.E.C.,na,1 TAMPINES NORTH DRIVE 1 T-SPACE #06-08 Singapore 528559 ,Live Company,2009-03-10,2009-03-09,Local Company,2022-08-25
201421115M,ADASTRA DESIGN SINGAPORE PTE. LTD.,74199,na,OTHER SPECIALISED DESIGN ACTIVITIES N.E.C.,na,26 SIN MING LANE MIDVIEW CITY #06-125 Singapore 573971 ,Live Company,2014-07-19,2014-07-18,Local Company,2022-08-25
53389273B,AK TRADERS INTERNATIONAL,46900,46303,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,"WHOLESALE OF A GENERAL LINE (WIDE RANGE) OF GROCERIES (E.G. CEREALS, SUGAR, EDIBLE OILS, SAUCES AND DAIRY PRODUCTS)",506 CHAI CHEE LANE BOXPARK @ CHAI CHEE #01-02 Singapore 469026 ,Registration expired and has not been renewed,2018-10-29,2018-10-29,Business,2022-08-25
200904197C,AL BRIGHT CONSTRUCTION PTE. LTD.,41001,71122,GENERAL CONTRACTORS (BUILDING CONSTRUCTION INCLUDING MAJOR UPGRADING WORKS),PROCESS AND INDUSTRIAL PLANT ENGINEERING DESIGN AND CONSULTANCY SERVICES,15 TELOK BLANGAH CRESCENT MOUNT FABER VIEW #12-230 Singapore 090015 ,Live Company,2009-03-10,2009-03-09,Local Company,2022-08-25
53233240K,ALAN SERVICES,47531,47770,"RETAIL SALE OF FURNITURE (INCLUDING MATTRESSES, CUSHIONS)",RETAIL SALE OF SECOND-HAND GOODS IN STORES,272 CHOA CHU KANG AVENUE 2  #08-253 Singapore 680272 ,Ceased Registration,2013-03-20,2013-03-19,Business,2022-08-25
53368296K,ALMOND BAKERY,10712,na,"MANUFACTURE OF BREAD, CAKES AND CONFECTIONERY (EXCLUDING FROZEN BAKERY PRODUCTS)",na,630 BUKIT BATOK CENTRAL  #01-150 Singapore 650630 ,Live,2017-08-10,2017-08-10,Business,2022-08-25
201021434R,ALTITUDE ALLIANCE PTE. LTD.,70201,68203,MANAGEMENT CONSULTANCY SERVICES,"RESIDENTIAL (OTHER THAN TOWN COUNCILS), COMMERCIAL AND INDUSTRIAL REAL ESTATE MANAGEMENT",1 MARITIME SQUARE HARBOURFRONT CENTRE #10-54 Singapore 099253 ,Live Company,2010-10-08,2010-10-07,Local Company,2022-08-25
201809558D,AMBER 360 PTE. LTD.,70201,na,MANAGEMENT CONSULTANCY SERVICES (GENERAL),na,160 ROBINSON ROAD  #14-04 Singapore 068914 ,Live Company,2018-03-20,2018-03-20,Local Company,2022-08-25
201818705W,AMBERMOB PTE. LTD.,73100,62012,ADVERTISING ACTIVITIES,DEVELOPMENT OF COMPUTER GAMES,2 VENTURE DRIVE VISION EXCHANGE #11-31 Singapore 608526 ,Live Company,2018-06-01,2018-06-01,Local Company,2022-08-25
53325956L,ANDRHO,49214,na,STREET-HAIL AND RIDE-HAIL SERVICE PROVIDERS,na,336 BUKIT BATOK STREET 32  #09-297 Singapore 650336 ,Live,2015-12-25,2015-12-24,Business,2022-08-25
201433996M,APNAS BAZAR PTE. LTD.,47102,82999,"MINI-MARTS, CONVENIENCE STORES AND PROVISION SHOPS",OTHER BUSINESS SUPPORT SERVICE ACTIVITIES (E.G. ADMINISTRATION OF LOYALTY PROGRAMMES),2 PETIR ROAD MAYSPRINGS #01-15 Singapore 678265 ,Live Company,2014-11-19,2014-11-13,Local Company,2022-08-25
201418942K,APPS PLANET PTE. LTD.,62011,70209,DEVELOPMENT OF SOFTWARE AND APPLICATIONS (EXCEPT GAMES AND CYBERSECURITY),MANAGEMENT CONSULTANCY SERVICES N.E.C.,10 ANSON ROAD INTERNATIONAL PLAZA #33-01/16 Singapore 079903 ,Live Company,2014-07-01,2014-06-30,Local Company,2022-08-25
201418070R,ARC TECHNOLOGIES PTE. LTD.,62090,na,OTHER INFORMATION TECHNOLOGY AND COMPUTER SERVICE ACTIVITIES (EG DISASTER RECOVERY SERVICES),na,231 MOUNTBATTEN ROAD MOUNTBATTEN CENTRE #01-06 Singapore 397999 ,Struck Off,2014-06-21,2014-06-20,Local Company,2022-08-25
200503411G,ARCTIC VENDING PTE. LTD.,47742,47220,"RETAIL SALE OF HANDICRAFTS, COLLECTIBLES AND GIFTS",RETAIL SALE OF BEVERAGES,2 BUKIT BATOK STREET 24 SKYTECH #06-18 Singapore 659480 ,Struck Off,2008-09-13,2005-03-15,Local Company,2022-08-25
201320230W,ARENA SHIP MANAGEMENT SERVICES PTE. LTD.,52226,52229,SHIP MANAGEMENT SERVICES,SUPPORTING SERVICES TO WATER TRANSPORT N.E.C.,12 TANNERY ROAD HB CENTRE 1 #10-01 Singapore 347722 ,Live Company,2013-07-26,2013-07-25,Local Company,2022-08-25
201624850G,ASSURANCE MEDICARE PTE. LTD.,86201,64202,CLINICS AND OTHER GENERAL MEDICAL SERVICES (WESTERN),OTHER HOLDING COMPANIES,370 TANJONG KATONG ROAD   Singapore 437127 ,Live Company,2016-09-09,2016-09-09,Local Company,2022-08-25
201831484G,ATHENA ENERGY HOLDINGS PTE. LTD.,71123,na,ENGINEERING DESIGN AND CONSULTANCY SERVICES IN ENERGY MANAGEMENT AND CLEAN ENERGY SYSTEMS,na,133 NEW BRIDGE ROAD CHINATOWN POINT #18-09 Singapore 059413 ,Live Company,2018-09-13,2018-09-13,Local Company,2022-08-25
201419628D,AUDI CONSTRUCTION PTE. LTD.,41001,41009,GENERAL CONTRACTORS (BUILDING CONSTRUCTION INCLUDING MAJOR UPGRADING WORKS),BUILDING CONSTRUCTION N.E.C.,41 CHAI CHEE STREET  #14-22 Singapore 461041 ,Live Company,2014-07-05,2014-07-04,Local Company,2022-08-25
202026167K,AVADA COMMERCE PTE. LTD.,62011,58202,DEVELOPMENT OF E-COMMERCE APPLICATIONS,PUBLISHING OF OTHER SOFTWARE/APPLICATIONS (NON-GAMES),1 SOPHIA ROAD PEACE CENTRE #05-12 Singapore 228149 ,Live Company,2020-08-28,2020-08-28,Local Company,2022-08-25
52986093K,AXIS TRAINING & CONSULTANCY,85409,70201,TRAINING COURSES N.E.C.,MANAGEMENT CONSULTANCY SERVICES,1 THOMSON ROAD BALESTIER HILL SHOPPING CENTRE #03-332D Singapore 300001 ,Live,2008-09-12,2003-01-15,Business,2022-08-25
200812432R,B&E BUILDER PTE. LTD.,43301,41009,RENOVATION CONTRACTORS,BUILDING CONSTRUCTION N.E.C.,37 JALAN PEMIMPIN MAPEX #04-08 Singapore 577177 ,Live Company,2008-09-13,2008-06-26,Local Company,2022-08-25
201408210K,BACK OFFICE CONSULTING PTE. LTD.,70201,na,MANAGEMENT CONSULTANCY SERVICES (GENERAL),na,60 PAYA LEBAR ROAD PAYA LEBAR SQUARE #08-05 Singapore 409051 ,Live Company,2014-03-22,2014-03-21,Local Company,2022-08-25
200506864K,BE-MAD CONSULTANCY PTE. LTD.,70201,na,MANAGEMENT CONSULTANCY SERVICES (GENERAL),na,14 ROBINSON ROAD FAR EAST FINANCE BUILDING #08-01A Singapore 048545 ,Live Company,2008-09-13,2005-05-18,Local Company,2022-08-25
53410001E,BERJAYA INFINITUM,70209,na,MANAGEMENT CONSULTANCY SERVICES N.E.C.,na,38A RACE COURSE ROAD   Singapore 218555 ,Live,2020-02-28,2020-02-28,Business,2022-08-25
201430864H,BESURE PTE. LTD.,96012,na,SELF-OPERATED LAUNDRIES,na,8 JALAN BATU DI TANJONG RHU #01-05 Singapore 431008 ,Live Company,2014-10-21,2014-10-15,Local Company,2022-08-25
201430864H,LUMOS ELECTRONICS PTE. LTD.,47711,na,RETAIL SALE OF CLOTHING FOR ADULTS,na,5 TAMPINES CENTRAL 6 TELEPARK #03-38 Singapore 529482 ,Live Company,2014-10-21,2014-10-15,Local Company,2022-08-25
201929741D,BIG CENTURY PTE. LTD.,28300,81211,"INSTALLATION OF INDUSTRIAL MACHINERY AND EQUIPMENT, MECHANICAL ENGINEERING WORKS","GENERAL CLEANING SERVICES (INCLUDING CLEANING OF PUBLIC AREAS, OFFICES AND FACTORIES) EXCEPT HOUSEHOLD CLEANING AND ONLINE MARKETPLACES",58 CIRCUIT ROAD MACPHERSON GARDEN #01-151 Singapore 370058 ,Live Company,2019-09-06,2019-09-06,Local Company,2022-08-25
T15FC0040D,BISTEL INC. SINGAPORE BRANCH,46900,62090,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,OTHER INFORMATION TECHNOLOGY AND COMPUTER SERVICE ACTIVITIES (EG DISASTER RECOVERY SERVICES),6 EU TONG SEN STREET THE CENTRAL #11-10P Singapore 059817 ,na,2015-03-25,2015-03-25,Foreign Company,2022-08-25
53339351E,BOOKUU,47742,47714,"RETAIL SALE OF HANDICRAFTS, COLLECTIBLES AND GIFTS","RETAIL SALE OF BAGS, LUGGAGE AND TRAVEL ACCESSORIES",364A SEMBAWANG CRESCENT  #13-223 Singapore 751364 ,Live,2016-06-13,2016-06-13,Business,2022-08-25
53241213C,BUDDHISTTHAI,47742,49215,"RETAIL SALE OF HANDICRAFTS, COLLECTIBLES AND GIFTS",RENTAL AND LEASING OF CARS WITH DRIVER (EXCLUDING STREET-HAIL AND RIDE-HAIL SERVICE PROVIDERS),293A BUKIT BATOK STREET 21 SKYPEAK @ BUKIT BATOK #15-502 Singapore 651293 ,Live,2013-07-16,2013-07-15,Business,2022-08-25
202007337C,BUSINESS SPECIALIST PTE. LTD.,70201,69202,MANAGEMENT CONSULTANCY SERVICES (GENERAL),BOOK-KEEPING SERVICES,11 COLLYER QUAY THE ARCADE #14-05 Singapore 049317 ,Struck Off,2020-03-03,2020-03-03,Local Company,2022-08-25
53049893J,CAREER SUCCESS CONSULTING,85409,na,TRAINING COURSES N.E.C.,na,13 DOVER CLOSE EAST DOVER HEIGHTS #14--210 Singapore 130013 ,Live,2008-09-13,2005-08-03,Business,2022-08-25
53222355A,CAT'S CHOICE,47746,na,RETAIL SALE OF PET BIRDS AND ANIMALS (INCLUDING FOOD AND ACCESSORIES),na,2 JALAN BUKIT MERAH BRICKWORKS ESTATE #01-5166 Singapore 150002 ,Cancelled (Non-Renewal),2012-09-12,2012-09-11,Business,2022-08-25
201115614K,CCA & PARTNERS PTE. LTD.,71121,na,GENERAL BUILDING ENGINEERING DESIGN AND CONSULTANCY SERVICES,na,2 LENG KEE ROAD THYE HONG CENTRE #04-10 Singapore 159086 ,Live Company,2011-07-02,2011-07-01,Local Company,2022-08-25
200615072K,CEE OIL ASIA PTE. LTD.,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,133 NEW BRIDGE ROAD CHINATOWN POINT #22-09 Singapore 059413 ,Struck Off,2008-09-13,2006-10-10,Local Company,2022-08-25
201542922E,CERESTRA ADVISORS PTE. LTD.,66309,na,FUND MANAGEMENT ACTIVITIES N.E.C.,na,9 RAFFLES PLACE REPUBLIC PLAZA #27-00 Singapore 048619 ,Struck Off,2015-12-11,2015-12-10,Local Company,2022-08-25
201912252C,CFTE PTE. LTD.,70201,na,MANAGEMENT CONSULTANCY SERVICES,na,80 ROBINSON ROAD  #08-01 Singapore 068898 ,Live Company,2019-04-15,2019-04-15,Local Company,2022-08-25
53352579M,CHANDRA ADEKALO,49215,na,RENTAL AND LEASING OF CARS WITH DRIVER (EXCLUDING STREET-HAIL AND RIDE-HAIL SERVICE PROVIDERS),na,780B WOODLANDS CRESCENT WOODLANDS DEW #02-39 Singapore 732780 ,Ceased Registration,2016-12-19,2016-12-19,Business,2022-08-25
53426808X,CHAY ACCOUNTING,69202,na,BOOK-KEEPING SERVICES,na,140 BISHAN STREET 12 BISHAN GREEN #04-502 Singapore 570140 ,Live,2021-01-04,2021-01-04,Business,2022-08-25
201933835H,CHINA ENERGY LNG TRADING PTE. LTD.,46610,na,WHOLESALE OF FUELS AND RELATED PRODUCTS,na,24 RAFFLES PLACE CLIFFORD CENTRE #17-04 Singapore 048621 ,Live Company,2019-10-08,2019-10-08,Local Company,2022-08-25
53358528K,CITY HALL SQUARE,47101,na,SUPERMARKETS AND HYPERMARKETS,na,10 COLEMAN STREET GRAND PARK CITY HALL  Singapore 179809 ,Live,2017-03-15,2017-03-15,Business,2022-08-25
201542494D,CLAREMONT PARTNERS PTE. LTD.,66309,na,FUND MANAGEMENT ACTIVITIES N.E.C.,na,133 NEW BRIDGE ROAD CHINATOWN POINT #16-05 Singapore 059413 ,Live Company,2015-12-08,2015-12-07,Local Company,2022-08-25
39149400K,COACHING WELL INTERNATIONAL,85409,46900,TRAINING COURSES N.E.C.,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,10 ANGKLONG LANE FABER GARDEN CONDOMINIUM #01-05 Singapore 579982 ,Live,2008-09-10,1988-04-12,Business,2022-08-25
201615757G,COMAEA INUIT PTE. LTD.,70201,62011,MANAGEMENT CONSULTANCY SERVICES,DEVELOPMENT OF SOFTWARE AND APPLICATIONS (EXCEPT GAMES AND CYBERSECURITY),583 ORCHARD ROAD FORUM #06-01 Singapore 238884 ,Live Company,2016-06-09,2016-06-09,Local Company,2022-08-25
201307171D,COMMERCIAL ONE PTE. LTD.,68101,na,REAL ESTATE DEVELOPERS,na,1005 LOWER DELTA ROAD TERESA VILLE #22-03 Singapore 099309 ,Live Company,2013-03-19,2013-03-18,Local Company,2022-08-25
198002007G,COMPACT DISTRIBUTORS PTE LTD,46900,81211,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,"GENERAL CLEANING SERVICES (INCLUDING CLEANING OF PUBLIC AREAS, OFFICES AND FACTORIES) EXCEPT HOUSEHOLD CLEANING",115 CLEMENTI STREET 13 SUNSET WAY RESIDENCE #10-50 Singapore 120115 ,Live Company,2008-09-09,1980-06-13,Local Company,2022-08-25
201540066R,COMPFIX SOLUTION PTE. LTD.,47412,95110,"RETAIL SALE OF COMPUTER HARDWARE (INCLUDING HANDHELD COMPUTERS) AND PERIPHERAL EQUIPMENT, AND COMPUTER SOFTWARE (EXCEPT GAMES AND CYBERSECURITY HARDWARE AND SOFTWARE)","REPAIR AND MAINTENANCE OF COMPUTER HARDWARE, DATA PROCESSING EQUIPMENT AND COMPUTER PERIPHERALS",14 KITCHENER LINK CITY SQUARE RESIDENCES #29-31 Singapore 207223 ,Live Company,2015-11-10,2015-11-09,Local Company,2022-08-25
201730059E,CONNEXIS PTE. LTD.,68203,46900,"RESIDENTIAL (OTHER THAN TOWN COUNCILS), COMMERCIAL AND INDUSTRIAL REAL ESTATE MANAGEMENT",WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,105 CECIL STREET THE OCTAGON #22-05 Singapore 069534 ,Live Company,2017-10-20,2017-10-20,Local Company,2022-08-25
201609421G,CRAFT ATELIER PTE. LTD.,43301,na,RENOVATION CONTRACTORS,na,463C SEMBAWANG DRIVE SEMBAWANG RIVERLODGE #19-393 Singapore 753463 ,Struck Off,2016-04-10,2016-04-12,Local Company,2022-08-25
52808281K,D & A AIRCON SERVICES,43220,na,"PLUMBING, HEATING (NON-ELECTRIC) AND AIR-CONDITIONING",na,741 TAMPINES STREET 72  #12-74 Singapore 520741 ,Live,2008-09-10,1995-10-03,Business,2022-08-25
53217508E,DATU PHOENIX,52212,96040,MOTOR VEHICLE TOWING SERVICES,WEDDING AND RELATED ACTIVITIES (INCLUDING BRIDAL STUDIOS AND WEDDING PLANNERS),55 CHANGI ROAD MILLAGE #B1-02 Singapore 419709 ,Live,2012-06-27,2012-06-26,Business,2022-08-25
202103318E,DEAN CAPITAL PTE. LTD.,66305,na,VENTURE CAPITAL ACTIVITIES,na,21 BUKIT BATOK CRESCENT WCEGA TOWER #25-72-A1 Singapore 658065 ,Live Company,2021-01-25,2021-01-25,Local Company,2022-08-25
41278000C,DELIFRANCE LE BISTROT,56111,na,RESTAURANTS,na,30 ROBINSON ROAD ROBINSON TOWERS #01-02 Singapore 048546 ,Ceased Registration,2008-09-10,1989-07-03,Business,2022-08-25
201107903E,DESIGNERS UNION PTE. LTD.,74119,na,INDUSTRIAL DESIGN ACTIVITIES N.E.C.,na,5 JALAN KILANG THE MILL #06-01 Singapore 159405 ,Live Company,2011-04-02,2011-04-01,Local Company,2022-08-25
201303952Z,DINGDA INDUSTRIES SINGAPORE PTE. LTD.,46900,30110,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,"BUILDING AND REPAIRING OF SHIPS, TANKERS AND OTHER OCEAN-GOING VESSELS (INCLUDING CONVERSION OF SHIPS INTO OFF-SHORE STRUCTURES)",10 JELEBU ROAD HILLION RESIDENCES #11-16 Singapore 677672 ,Struck Off,2013-02-09,2013-02-08,Local Company,2022-08-25
200811965D,DISC-PRINT PTE. LTD.,46442,na,"WHOLESALE OF MUSIC AND VIDEO RECORDINGS (E.G. DVDS, BLU-RAY DISCS)",na,1 ROCHOR CANAL ROAD SIM LIM SQUARE #03-04 Singapore 188504 ,Live Company,2008-09-13,2008-06-18,Local Company,2022-08-25
201332873Z,DR & DR PRIVATE LIMITED,46900,46592,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,"WHOLESALE OF MEDICAL, PROFESSIONAL, SCIENTIFIC AND PRECISION EQUIPMENT",4 MAPLE LANE   Singapore 277549 ,Live Company,2013-12-07,2013-12-06,Local Company,2022-08-25
201624355H,DR OVE BRATLAND SYSTEMS PTE. LTD.,58202,74909,PUBLISHING OF OTHER SOFTWARE/APPLICATIONS (NON-GAMES),"OTHER PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES N.E.C.",20 CECIL STREET PLUS #08-01 Singapore 049705 ,Struck Off,2016-09-06,2016-09-06,Local Company,2022-08-25
T15LL1160C,DT MEDIA LLP,63120,na,"WEB PORTALS (E.G. WEB SEARCH, SOCIAL NETWORKING SITES, ONLINE MARKETPLACE, REVIEW PORTALS)",na,6 BUKIT PASOH ROAD  #02-00 Singapore 089820 ,Live,2015-07-13,2015-07-13,LLP,2022-08-25
53060880D,DURROH EDUCATION & TRANSPORTATION SERVICES,52292,49212,FREIGHT TRANSPORT ARRANGEMENT,CHARTERED BUS SERVICES (INCLUDING SCHOOL BUSES),209C PUNGGOL PLACE PUNGGOL CREST #04-1268 Singapore 823209 ,Live,2008-09-13,2006-01-27,Business,2022-08-25
197800520Z,DYNACAST (SINGAPORE) PTE. LTD.,28223,na,"MANUFACTURE OF DIES, MOULDS, TOOLS, JIGS AND FIXTURES",na,6 SECOND CHIN BEE ROAD   Singapore 618773 ,Live Company,2008-09-09,1978-03-08,Local Company,2022-08-25
201535266H,ECO & ST PTE. LTD.,25939,46900,"MANUFACTURE OF GENERAL HARDWARE (INCLUDING BLACKSMITH SHOPS) N.E.C. (EG LOCKS AND KEYS, HINGES, CLAMPS, HOOKS)",WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,34 UPPER CROSS STREET CHIN SWEE VIEW #04-156 Singapore 050034 ,Live Company,2015-09-22,2015-09-21,Local Company,2022-08-25
201430752Z,ELEMENTA PTE. LTD.,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,30 CECIL STREET PRUDENTIAL TOWER #19-08 Singapore 049712 ,Live Company,2014-10-21,2014-10-15,Local Company,2022-08-25
201529166C,ELITE MARBLE PTE. LTD.,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,105 CECIL STREET THE OCTAGON #15-01 Singapore 069534 ,Struck Off,2015-07-17,2015-07-16,Local Company,2022-08-25
201133037E,ELNOX TRADING PTE. LTD.,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,9 RAFFLES PLACE REPUBLIC PLAZA #27-00 Singapore 048619 ,Struck Off,2011-11-12,2011-11-11,Local Company,2022-08-25
53008514C,EMINENT IMPORT & EXPORT,46900,47770,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,RETAIL SALE OF SECOND-HAND GOODS IN STORES,1 SOPHIA ROAD PEACE CENTRE #02-11 Singapore 228149 ,Cancelled (Non-Renewal),2008-09-12,2003-11-20,Business,2022-08-25
201918502Z,EVERGREEN AGRO FARM INTERNATIONAL PTE. LTD.,46900,01190,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,GROWING OF OTHER CROPS,31 WOODLANDS CLOSE WOODLANDS HORIZON #07-21 Singapore 737855 ,Struck Off,2019-06-10,2019-06-10,Local Company,2022-08-25
199801780M,EVOCATEURS PTE. LTD.,74191,43301,INTERIOR DESIGN SERVICES,RENOVATION CONTRACTORS,5 JALAN KILANG THE MILL #06-01 Singapore 159405 ,Live Company,2008-09-11,1998-04-11,Local Company,2022-08-25
199801780M,THE I.D. DEPT. PTE LTD,74191,43301,INTERIOR DESIGN SERVICES,RENOVATION CONTRACTORS,5 JALAN KILANG THE MILL #06-01 Singapore 159405 ,Live Company,2008-09-11,1998-04-11,Local Company,2022-08-25
53423905J,F&P 1010 TRADING,52292,52219,FREIGHT TRANSPORT ARRANGEMENT,SUPPORTING SERVICES TO LAND TRANSPORT N.E.C.,212 TAMPINES STREET 23  #08-125 Singapore 520212 ,Cancellation In Progress,2020-11-08,2020-11-08,Business,2022-08-25
201931498G,FA THAI INTERNATIONAL FOUNDATION LTD.,62011,62022,DEVELOPMENT OF SOFTWARE AND APPLICATIONS (EXCEPT GAMES AND CYBERSECURITY),INFORMATION TECHNOLOGY CYBERSECURITY CONSULTANCY,60 PAYA LEBAR ROAD PAYA LEBAR SQUARE #08-55 Singapore 409051 ,Struck Off,2019-09-20,2019-09-20,Local Company,2022-08-25
201719978C,FALCON PROPERTY SERVICES PTE. LTD.,46100,70201,WHOLESALE ON A FEE OR CONTRACT BASIS (EG COMMISSION AGENTS),MANAGEMENT CONSULTANCY SERVICES (GENERAL),105 CECIL STREET THE OCTAGON #13-00 Singapore 069534 ,Live Company,2017-07-17,2017-07-17,Local Company,2022-08-25
202104549Z,FIRST ESTATE CAPITAL MANAGEMENT PRIVATE LIMITED,66302,66309,HEDGE FUND MANAGEMENT,FUND MANAGEMENT ACTIVITIES N.E.C.,111 SOMERSET ROAD 111 SOMERSET #03-09 Singapore 238164 ,Live Company,2021-02-04,2021-02-04,Local Company,2022-08-25
201730134Z,FIRSTLIGHT ASIA PTE. LTD.,70201,na,MANAGEMENT CONSULTANCY SERVICES (GENERAL),na,133 NEW BRIDGE ROAD CHINATOWN POINT #08-03 Singapore 059413 ,Struck Off,2017-10-20,2017-10-20,Local Company,2022-08-25
