uen,Company Name,primary_ssic_code,secondary_ssic_code,primary_ssic_description,secondary_ssic_description,finaladdress,entity_status_description,uen_issue_date,registration_incorporation_date,entity_type_description,ACRA Update Date
53058885D,SIN-JONG TRADITIONAL MEDICAL & ACUPUNCTURE,86202,47723,CLINICS AND OTHER GENERAL MEDICAL SERVICES (NON-WESTERN),CHINESE MEDICINE SHOPS,810 GEYLANG ROAD CITY PLAZA #02-12 Singapore 409286 ,Live,2008-09-13,2005-12-21,Business,2022-08-25
T16LL1963A,SINGAPORE BRANDED FOODS LLP,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,1 SOON LEE STREET PIONEER CENTRE #06-35 Singapore 627605 ,Struck Off,2016-10-17,2016-10-17,LLP,2022-08-25
202035045K,SINGAPORE SAILING TECHNOLOGY PTE. LTD.,62090,46900,OTHER INFORMATION TECHNOLOGY AND COMPUTER SERVICE ACTIVITIES (EG DISASTER RECOVERY SERVICES),WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,195 PEARL'S HILL TERRACE  #01-05 Singapore 168976 ,Live Company,2020-11-02,2020-11-02,Local Company,2022-08-25
200403397R,SINOHEALTH HOLDING PTE. LTD.,46461,46900,WHOLESALE OF MEDICINAL AND PHARMACEUTICAL PRODUCTS (WESTERN),WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,3 RAFFLES PLACE BHARAT BUILDING #06-01 Singapore 048617 ,Live Company,2008-09-12,2004-03-23,Local Company,2022-08-25
53216862C,SOCIALGREEN,70201,71112,MANAGEMENT CONSULTANCY SERVICES (GENERAL),LANDSCAPE DESIGN AND LANDSCAPE ARCHITECTURE,70 MARINE PARADE ROAD COTE D'AZUR #08-27 Singapore 449302 ,Live,2012-06-16,2012-06-15,Business,2022-08-25
48073000L,SOON PING TRADING,47539,na,"RETAIL SALE OF ELECTRICAL HOUSEHOLD APPLIANCES, FURNITURE, LIGHTING EQUIPMENT AND OTHER HOUSEHOLD ARTICLES N.E.C.",na,3007 UBI ROAD 1 KAMPONG UBI INDUSTRIAL ESTATE #02-402 Singapore 408701 ,Live,2008-09-10,1993-02-25,Business,2022-08-25
38415300C,SOURCE-TECH MARKETING AND SERVICES,46592,43210,"WHOLESALE OF MEDICAL, PROFESSIONAL, SCIENTIFIC AND PRECISION EQUIPMENT",ELECTRICAL WORKS,177 BUKIT BATOK WEST AVENUE 8  #04-259 Singapore 650177 ,Live,2008-09-10,1987-11-02,Business,2022-08-25
201942569H,SOWL COFFEE PTE. LTD.,56112,na,CAFES AND COFFEE HOUSES,na,6 WOODLANDS SQUARE WOODS SQUARE #01-05 Singapore 737737 ,Live Company,2019-12-17,2019-12-17,Local Company,2022-08-25
201933457W,SRAM & MRAM TECHNOLOGIES PTE. LTD.,62011,na,DEVELOPMENT OF SOFTWARE AND APPLICATIONS (EXCEPT GAMES AND CYBERSECURITY),na,2 VENTURE DRIVE VISION EXCHANGE #13-30 Singapore 608526 ,Live Company,2019-10-05,2019-10-05,Local Company,2022-08-25
201941906C,ST CONSULTING PTE. LTD.,70201,na,MANAGEMENT CONSULTANCY SERVICES (GENERAL),na,175 BISHAN STREET 13  #02-149 Singapore 570175 ,Live Company,2019-12-11,2019-12-11,Local Company,2022-08-25
200617342H,STAR ROSE PTE. LTD.,47101,46521,SUPERMARKETS AND HYPERMARKETS,WHOLESALE OF TELECOMMUNICATIONS EQUIPMENT (EXCLUDING HANDPHONES),12 BELILIOS LANE   Singapore 219957 ,Live Company,2008-09-13,2006-11-21,Local Company,2022-08-25
202036619Z,STARHOPE AUTOPARTS PTE. LTD.,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,462 CRAWFORD LANE  #02-33 Singapore 190462 ,Live Company,2020-11-12,2020-11-12,Local Company,2022-08-25
52952392B,STATE OF THE ART INNOVATION,46900,46499,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,WHOLESALE OF OTHER HOUSEHOLD GOODS N.E.C.,14 ARUMUGAM ROAD TECK CHIANG REALTY BUILDING #07-02 Singapore 409959 ,Ceased Registration,2008-09-12,2001-09-11,Business,2022-08-25
201906002R,STEELA INTERNATIONAL PTE. LTD.,46900,46514,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,"WHOLESALE OF CYBERSECURITY SOFTWARE, HARDWARE AND PERIPHERAL EQUIPMENT",10 ANSON ROAD INTERNATIONAL PLAZA #10-11 Singapore 079903 ,Live Company,2019-02-25,2019-02-25,Local Company,2022-08-25
201222168W,SULLAIR ASIA PTE. LTD.,28129,na,"MANUFACTURE AND REPAIR OF PUMPS, COMPRESSORS, TAPS AND VALVES N.E.C.",na,30 PIONEER CRESCENT WEST PARK BIZCENTRAL #10-15 Singapore 628560 ,Live Company,2012-09-08,2012-09-07,Local Company,2022-08-25
199307242K,SUMMER VIEW HOTEL PTE LTD,55101,79102,HOTELS WITH RESTAURANT,TRAVEL AGENCIES AND TOUR OPERATORS (MAINLY OUTBOUND),173 BENCOOLEN STREET SUMMER VIEW HOTEL #01-173 Singapore 189642 ,Live Company,2008-09-10,1993-11-02,Local Company,2022-08-25
200607882N,SUN (IMPORT/EXPORT) PTE. LTD.,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,63 HILLVIEW AVENUE LAM SOON INDUSTRIAL BUILDING #10-08 Singapore 669569 ,Struck Off,2008-09-13,2006-06-01,Local Company,2022-08-25
201302150E,SUVIN TECH PTE. LTD.,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,29 MAYO STREET  #03-03 Singapore 208315 ,Struck Off,2013-01-22,2013-01-21,Local Company,2022-08-25
53120489L,SYNERGI.BZ,46900,70201,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,MANAGEMENT CONSULTANCY SERVICES (GENERAL),190 MIDDLE ROAD FORTUNE CENTRE #12-01 Singapore 188979 ,Live,2008-09-13,2008-07-10,Business,2022-08-25
53164996B,U BEST ENGINEERING & TRADING,46900,46599,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,WHOLESALE OF OTHER MACHINERY AND EQUIPMENT N.E.C.,147 BEDOK RESERVOIR ROAD EUNOS SPRING #12-1659 Singapore 470147 ,Live,2010-04-08,2010-04-07,Business,2022-08-25
201306016K,UMD GROUP PTE. LTD.,46900,82999,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,"OTHER BUSINESS SUPPORT SERVICE ACTIVITIES (EG JUNKETS, ADMINISTRATION OF LOYALTY PROGRAMMES)",176 JOO CHIAT ROAD  #02-02 Singapore 427447 ,Struck Off,2013-03-08,2013-03-07,Local Company,2022-08-25
201119764N,UNITED FOODS INTERNATIONAL (SINGAPORE) PTE. LTD.,46900,10799,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,MANUFACTURE OF OTHER FOOD PRODUCTS N.E.C. (EXCEPT FOOD CHEMICALS AND ADDITIVES),100 PECK SEAH STREET PS100 #07-18 Singapore 079333 ,Live Company,2011-08-20,2011-08-19,Local Company,2022-08-25
202038572W,UNIVERSAL WORKS PTE. LTD.,70201,na,MANAGEMENT CONSULTANCY SERVICES (GENERAL),na,71 UBI ROAD 1 OXLEY BIZHUB #08-34 Singapore 408732 ,Live Company,2020-11-28,2020-11-28,Local Company,2022-08-25
201730688Z,UNVOLATILE PTE. LTD.,70201,na,MANAGEMENT CONSULTANCY SERVICES (GENERAL),na,32 CARPENTER STREET  #03-01 Singapore 059911 ,Live Company,2017-10-26,2017-10-26,Local Company,2022-08-25
201210239N,TAO INVESTMENTS CORPORATE PTE. LTD.,70203,na,MANAGEMENT CONSULTANCY SERVICES FOR HOTELS,na,20 KRAMAT LANE UNITED HOUSE #02-05 Singapore 228773 ,Struck Off,2012-04-26,2012-04-25,Local Company,2022-08-25
201803574G,TASTE & PALATE CO. PTE. LTD.,56122,na,"FOOD COURTS, COFFEE SHOPS, AND EATING HOUSES (WITH MAINLY FOOD AND BEVERAGE INCOME)",na,9 HOLLAND AVENUE  #06-42 Singapore 272009 ,Live Company,2018-01-29,2018-01-29,Local Company,2022-08-25
201002231N,TECHCUBE8 PTE. LTD.,70209,72102,MANAGEMENT CONSULTANCY SERVICES N.E.C.,RESEARCH AND EXPERIMENTAL DEVELOPMENT ON ELECTRONICS,10 JALAN BESAR SIM LIM TOWER #15-06/07 Singapore 208787 ,Live Company,2010-01-29,2010-01-28,Local Company,2022-08-25
200814807D,TEE TREE INVESTMENTS PTE. LTD.,56111,64202,RESTAURANTS,OTHER HOLDING COMPANIES,311 OLD BIRDCAGE WALK  #02-08 Singapore 798484 ,Live Company,2008-09-13,2008-07-29,Local Company,2022-08-25
201816875H,TEKIYA PTE. LTD.,56111,46900,RESTAURANTS,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,1 TRAS LINK ORCHID HOTEL #01-18 Singapore 078867 ,Live Company,2018-05-17,2018-05-17,Local Company,2022-08-25
201704578D,THADDEUS INTELLIGENCE PTE. LTD.,62021,62011,INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY),DEVELOPMENT OF SOFTWARE AND APPLICATIONS (EXCEPT GAMES AND CYBERSECURITY),50 RAFFLES PLACE SINGAPORE LAND TOWER #37-00 Singapore 048623 ,Struck Off,2017-02-20,2017-02-20,Local Company,2022-08-25
53358421C,THE FIERCE-HEARTED,47742,na,"RETAIL SALE OF HANDICRAFTS, COLLECTIBLES AND GIFTS",na,588C ANG MO KIO STREET 52 PARK CENTRAL @ AMK #30-225 Singapore 563588 ,Cancelled (Non-Renewal),2017-03-14,2017-03-14,Business,2022-08-25
200206337C,THE GADGET LAND PTE. LTD.,82999,62090,"OTHER BUSINESS SUPPORT SERVICE ACTIVITIES (EG JUNKETS, ADMINISTRATION OF LOYALTY PROGRAMMES)",OTHER INFORMATION TECHNOLOGY AND COMPUTER SERVICE ACTIVITIES (EG DISASTER RECOVERY SERVICES),6 CHIAP GUAN AVENUE   Singapore 549869 ,Struck Off,2008-09-12,2002-07-23,Local Company,2022-08-25
201206547H,THE GOOD NATURED COMPANY PTE. LTD.,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,15F LYNDHURST ROAD LYNDHURST GROVE  Singapore 438103 ,Live Company,2012-03-16,2012-03-15,Local Company,2022-08-25
201437469Z,THE HAVEN HOTELS AND RESORTS PTE. LTD.,70201,64202,MANAGEMENT CONSULTANCY SERVICES (GENERAL),OTHER HOLDING COMPANIES,24 PECK SEAH STREET NEHSONS BUILDING #02-03 Singapore 079314 ,Live Company,2014-12-24,2014-12-17,Local Company,2022-08-25
201729978Z,THE LEGEND CGC PTE. LTD.,56111,na,RESTAURANTS,na,20 NETHERAVON ROAD  #02- Singapore 508505 ,Live Company,2017-10-19,2017-10-19,Local Company,2022-08-25
198902514M,THE YARD LOUNGE PTE LTD,64202,68105,OTHER HOLDING COMPANIES,COLLECTIVE PORTFOLIO INVESTMENT FUNDS WITH RENTAL INCOME,9 GREENBANK PARK GREEN BANK PARK  Singapore 589370 ,Live Company,2008-09-10,1989-06-20,Local Company,2022-08-25
53427005X,THINGNBARANG,47711,46900,RETAIL SALE OF CLOTHING FOR ADULTS,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,618 SENJA ROAD  #08-70 Singapore 670618 ,Live,2021-01-07,2021-01-07,Business,2022-08-25
201815743W,TI 22 PTE. LTD.,56112,na,CAFES,na,530B PASIR RIS DRIVE 1 PASIR RIS ONE #08-376 Singapore 512530 ,Live Company,2018-05-09,2018-05-09,Local Company,2022-08-25
53375910B,TIAN TIAN XIANG SHANG MALA HOT POT,56140,56122,STALLS SELLING COOKED FOOD AND PREPARED DRINKS (INCLUDING STALLS AT FOOD COURTS AND MOBILE FOOD HAWKERS),"FOOD COURTS, COFFEE SHOPS, AND EATING HOUSES (WITH MAINLY FOOD AND BEVERAGE INCOME)",529A GEYLANG ROAD   Singapore 389485 ,Live,2018-01-08,2018-01-08,Business,2022-08-25
202023001E,TOA PAYOH 93 SOON KUEH PTE. LTD.,56111,56140,RESTAURANTS,STALLS SELLING COOKED FOOD AND PREPARED DRINKS (INCLUDING STALLS AT FOOD COURTS AND MOBILE FOOD HAWKERS),1002 TOA PAYOH INDUSTRIAL PARK TOA PAYOH INDUSTRIAL PARK #01-1407 Singapore 319074 ,Live Company,2020-08-06,2020-08-06,Local Company,2022-08-25
201805481E,TOP FLOURISHING PTE. LTD.,50021,52227,SHIPPING LINES (SCHEDULED SERVICES),SHIP BROKERING SERVICES,152 BEACH ROAD GATEWAY EAST #02-08 Singapore 189721 ,Live Company,2018-02-12,2018-02-12,Local Company,2022-08-25
T14LL0999B,TOTALLY NATURE LLP,46900,01119,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,GROWING OF FOOD CROPS (NON-HYDROPONICS) N.E.C.,9 TAGORE LANE 9 @ TAGORE #02-12 Singapore 787472 ,Live,2014-05-19,2014-05-19,LLP,2022-08-25
53097724M,TRACY JUICE CULTURE,47214,na,RETAIL SALE OF HEALTH SUPPLEMENTS,na,223 LOYANG RISE   Singapore 507378 ,Cancelled (Non-Renewal),2008-09-13,2007-07-28,Business,2022-08-25
201809305W,TRAN$ACT PTE. LTD.,69202,70201,BOOK-KEEPING SERVICES,MANAGEMENT CONSULTANCY SERVICES (GENERAL),10 ANSON ROAD INTERNATIONAL PLAZA #29-01 Singapore 079903 ,Live Company,2018-03-18,2018-03-18,Local Company,2022-08-25
53375498D,TRANSFORM SPACE,42101,43210,GENERAL CONTRACTORS (NON-BUILDING CONSTRUCTION),ELECTRICAL WORKS,271D PUNGGOL WALK PUNGGOL RESIDENCES #10-545 Singapore 824271 ,Cancelled (Non-Renewal),2018-01-01,2018-01-01,Business,2022-08-25
201526432N,TREJOY PTE. LTD.,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,1 BROOKE ROAD KATONG PLAZA #03-07 Singapore 429979 ,Live Company,2015-06-20,2015-06-19,Local Company,2022-08-25
T12LL2199B,TRENDYBYTEZ LLP,47711,na,RETAIL SALE OF CLOTHING FOR ADULTS,na,10 ANSON ROAD INTERNATIONAL PLAZA #27-15 Singapore 079903 ,Live,2012-12-28,2012-12-28,LLP,2022-08-25
53391013K,TRI MEDIA OPS,73100,74199,ADVERTISING ACTIVITIES,OTHER SPECIALISED DESIGN ACTIVITIES N.E.C.,542 JELAPANG ROAD  #10-44 Singapore 670542 ,Live,2018-12-10,2018-12-10,Business,2022-08-25
199301999N,TRIANGLE RESEARCH INTERNATIONAL PTE LTD,27902,26209,"MANUFACTURE OF ELECTRICAL MACHINERY, APPARATUS, APPLIANCES AND SUPPLIES (INCLUDING SOUND OR VISUAL SIGNALLING APPARATUS, ELECTRICAL INSULATORS EXCEPT PORCELAIN OR GLASS)",MANUFACTURE OF COMPUTERS AND PERIPHERAL EQUIPMENT N.E.C.,10 UBI CRESCENT UBI TECHPARK #05-83 Singapore 408564 ,Live Company,2008-09-10,1993-04-02,Local Company,2022-08-25
201533873D,TRIPWONDER PTE. LTD.,63120,82999,INTERNET SEARCH ENGINES,OTHER BUSINESS SUPPORT SERVICE ACTIVITIES (E.G. ADMINISTRATION OF LOYALTY PROGRAMMES),22 SIN MING LANE MIDVIEW CITY #06-76 Singapore 573969 ,Live Company,2015-09-06,2015-09-05,Local Company,2022-08-25
53189813W,TRUST ELECTRICAL ENGINEERING SERVICES,43210,71129,ELECTRICAL WORKS,ENGINEERING DESIGN AND CONSULTANCY ACTIVITIES N.E.C.,613B BEDOK RESERVOIR ROAD EUNOS GROVE #13-1370 Singapore 472613 ,Live,2011-04-19,2011-04-18,Business,2022-08-25
200609210H,TRUTORQ ASIA PTE. LTD.,28129,46900,"MANUFACTURE AND REPAIR OF PUMPS, COMPRESSORS, TAPS AND VALVES N.E.C.",WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,9A JOO KOON CRESCENT   Singapore 629023 ,Live Company,2008-09-13,2006-06-23,Local Company,2022-08-25
201306506K,VERON INTERNATIONAL PTE. LTD.,46900,46100,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,WHOLESALE ON A FEE OR CONTRACT BASIS (EG COMMISSION AGENTS),10 ANSON ROAD INTERNATIONAL PLAZA #20-05 Singapore 079903 ,Live Company,2013-03-13,2013-03-12,Local Company,2022-08-25
199704105D,VINCENT AIR COMPRESSOR SERVICES PTE LTD,28129,96099,"MANUFACTURE AND REPAIR OF PUMPS, COMPRESSORS, TAPS AND VALVES N.E.C.",OTHER PERSONAL SERVICE ACTIVITIES N.E.C.,3028A UBI ROAD 3  #01-88 Singapore 408657 ,Live Company,2008-09-11,1997-06-16,Local Company,2022-08-25
200612090E,VIQUE PTE. LTD.,82999,46900,"OTHER BUSINESS SUPPORT SERVICE ACTIVITIES (EG JUNKETS, ADMINISTRATION OF LOYALTY PROGRAMMES)",WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,37 LORONG 23 GEYLANG YU LI INDUSTRIAL BUILDING #03-05 Singapore 388371 ,Struck Off,2008-09-13,2006-08-18,Local Company,2022-08-25
201911324D,VISIONS LEARNING SINGAPORE PTE. LTD.,85409,na,TRAINING COURSES N.E.C.,na,7500A BEACH ROAD THE PLAZA #04-326 Singapore 199591 ,Live Company,2019-04-08,2019-04-08,Local Company,2022-08-25
53399242K,VJS CREDIT & LEASING,64929,na,OTHER CREDIT AGENCIES N.E.C. (EG MOTOR FINANCE),na,188 PASIR RIS STREET 12  #05-42 Singapore 510188 ,Ceased Registration,2019-06-17,2019-06-17,Business,2022-08-25
199702087Z,W STAR CORPORATION PTE LTD,46900,46100,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,WHOLESALE ON A FEE OR COMMISSION BASIS (EXCLUDING ONLINE MARKETPLACES),390 ORCHARD ROAD PALAIS RENAISSANCE #04-03 Singapore 238871 ,Live Company,2008-09-11,1997-03-29,Local Company,2022-08-25
202030981G,WATERFORD (SINGAPORE) PTE. LTD.,70209,na,MANAGEMENT CONSULTANCY SERVICES N.E.C.,na,111 NORTH BRIDGE ROAD PENINSULA PLAZA #24-02 Singapore 179098 ,Live Company,2020-10-02,2020-10-02,Local Company,2022-08-25
201724192C,WCRA PTE. LTD.,47711,na,RETAIL SALE OF CLOTHING FOR ADULTS,na,50F FABER HEIGHTS FABER CREST #01-39 Singapore 129200 ,Struck Off,2017-08-24,2017-08-24,Local Company,2022-08-25
53422063X,WELLSPRING MINIMART,47211,46900,RETAIL SALE OF FRUITS AND VEGETABLES,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,21 LORONG 7 TOA PAYOH KIM KEAT PALM #01-288 Singapore 310021 ,Live,2020-10-08,2020-10-08,Business,2022-08-25
201936436K,WINNING SOLUTIONS PTE. LTD.,46900,64202,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,OTHER HOLDING COMPANIES,10 ANSON ROAD INTERNATIONAL PLAZA #20-05 Singapore 079903 ,Live Company,2019-10-30,2019-10-30,Local Company,2022-08-25
53314859J,WK FOOD HOLDINGS,56123,na,FOOD KIOSKS MAINLY FOR TAKEAWAY AND DELIVERY,na,111A DEPOT ROAD DEPOT HEIGHTS #19-103 Singapore 101111 ,Cancelled (Non-Renewal),2015-09-01,2015-08-29,Business,2022-08-25
26901900J,WOODLANDS DOMESTIC APPLIANCE CENTRE,46632,46549,"WHOLESALE OF GENERAL HARDWARE (EG LOCKS, HINGES)","WHOLESALE OF INDUSTRIAL, CONSTRUCTION AND RELATED MACHINERY AND EQUIPMENT N.E.C.",727 CLEMENTI WEST STREET 2  #01-260 Singapore 120727 ,Live,2008-09-09,1980-07-31,Business,2022-08-25
201815594D,WOOFALICIOUS PTE. LTD.,47746,46213,RETAIL SALE OF PET BIRDS AND ANIMALS (INCLUDING FOOD AND ACCESSORIES),WHOLESALE OF PET BIRDS AND ANIMALS (INCLUDING FOOD AND ACCESSORIES),1 CLAYMORE DRIVE ORCHARD TOWERS #21-02 Singapore 229594 ,Live Company,2018-05-08,2018-05-08,Local Company,2022-08-25
T18LL0050J,WR TRADING ENTERPRISE LLP,46424,na,WHOLESALE OF COSMETICS AND TOILETRIES,na,212 LOYANG AVENUE LOYANG VALLEY #03-03-06 Singapore 509064 ,Live,2018-01-09,2018-01-09,LLP,2022-08-25
201707613R,WRITEAWILL PTE. LTD.,62090,na,OTHER INFORMATION TECHNOLOGY AND COMPUTER SERVICE ACTIVITIES (EG DISASTER RECOVERY SERVICES),na,631 SENJA ROAD  #04-234 Singapore 670631 ,Struck Off,2017-03-18,2017-03-18,Local Company,2022-08-25
201402542R,YONG EN ALLIANCE PTE. LTD.,46900,64202,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,OTHER HOLDING COMPANIES,715 WOODLANDS DRIVE 70  #12-144 Singapore 730715 ,Live Company,2014-01-25,2014-01-24,Local Company,2022-08-25
20234400B,YONG NAM SENG PROVISION STORE,47102,na,"MINI-MARTS, CONVENIENCE STORES AND PROVISION SHOPS",na,207 BUKIT BATOK STREET 21 BUKIT BATOK GREEN #01-112 Singapore 650207 ,Ceased Registration,2008-09-09,1974-12-04,Business,2022-08-25
52857454W,YOON LOONG RENOVATION ELECTRICAL & PLUMBING SERVICES,43301,43210,RENOVATION CONTRACTORS,ELECTRICAL WORKS,509 JELAPANG ROAD  #05-82 Singapore 670509 ,Live,2008-09-11,1997-11-19,Business,2022-08-25
202014114D,YOUNG SAILOR PTE. LTD.,62011,62090,DEVELOPMENT OF SOFTWARE AND APPLICATIONS (EXCEPT GAMES AND CYBERSECURITY),OTHER INFORMATION TECHNOLOGY AND COMPUTER SERVICE ACTIVITIES (EG DISASTER RECOVERY SERVICES),2 VENTURE DRIVE VISION EXCHANGE #11-31 Singapore 608526 ,Live Company,2020-05-21,2020-05-21,Local Company,2022-08-25
53415884J,ZACHAROCHE,10799,na,MANUFACTURE OF OTHER FOOD PRODUCTS N.E.C. (EXCEPT FOOD CHEMICALS AND ADDITIVES),na,9 LEO DRIVE WINDSOR PARK  Singapore 576479 ,Live,2020-06-27,2020-06-27,Business,2022-08-25
200608176Z,ZUZEN PTE. LTD.,46900,na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,22 SIN MING LANE MIDVIEW CITY #06-76 Singapore 573969 ,Struck Off,2008-09-13,2006-06-06,Local Company,2022-08-25
201601909K,313 MINI WOK PTE. LTD.,70201,56122,MANAGEMENT CONSULTANCY SERVICES (GENERAL),"FOOD COURTS, COFFEE SHOPS, AND EATING HOUSES (WITH MAINLY FOOD AND BEVERAGE INCOME)",41 CHOA CHU KANG LOOP THE WARREN #06-11 Singapore 689677 ,Live Company,2016-01-25,2016-01-25,Local Company,2022-08-25
201913116R,689CLOUD PTE. LTD.,62090,na,OTHER INFORMATION TECHNOLOGY AND COMPUTER SERVICE ACTIVITIES (EG DISASTER RECOVERY SERVICES),na,71 AYER RAJAH CRESCENT  #02-18 Singapore 139951 ,Live Company,2019-04-23,2019-04-23,Local Company,2022-08-25
201301323M,8AM MANAGEMENT SERVICES PTE. LTD.,70201,69201,MANAGEMENT CONSULTANCY SERVICES (GENERAL),ACCOUNTING AND AUDITING SERVICES (INCLUDING TAXATION ADVISORY SERVICES),1 COLEMAN STREET THE ADELPHI #04-02 Singapore 179803 ,Live Company,2013-01-13,2013-01-12,Local Company,2022-08-25
201213701K,@BSOLUTE SOLUTIONS PTE. LTD.,43301,81211,RENOVATION CONTRACTORS,"GENERAL CLEANING SERVICES (INCLUDING CLEANING OF PUBLIC AREAS, OFFICES AND FACTORIES) EXCEPT HOUSEHOLD CLEANING",61 KAKI BUKIT AVENUE 1 SHUN LI INDUSTRIAL PARK #03-05 Singapore 417943 ,Live Company,2012-06-02,2012-06-01,Local Company,2022-08-25
